code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at,score
3020,3020.T,"Applied Co.,Ltd.",アプライド,スタンダード（内国株式）,小売業,小売,Technology,Electronics & Computer Distribution,JPY,3890.0,4855.254,0.80119395,10514067456,4.933418,,0.18445,788.5,48638001152.0,0.067210004,0.04632,7578999808.0,320000000.0,2.57,2026-04-30,1.443
6149,6149.T,"Odawara Engineering Co., Ltd.",小田原エンジニアリング,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1984.0,3238.266,0.6126736,11351614464,4.8988867,10.730124,0.13239999,404.99,18237999104.0,0.19405001,0.12693,8725000192.0,0.0,3.51,2026-04-30,1.42
5445,5445.T,"Tokyo Tekko Co., Ltd.",東京鐵鋼,プライム（内国株式）,鉄鋼,鉄鋼・非鉄,Basic Materials,Steel,JPY,1806.0,2432.047,0.7425843,45709860864,4.5421395,7.0054307,0.15648,397.61,73455001600.0,0.15199,0.12606,7456999936.0,4536000000.0,12.72,2026-04-30,1.367
6430,6430.T,"Daikoku Denki Co., Ltd.",ダイコク電機,プライム（内国株式）,機械,機械,Technology,Computer Hardware,JPY,2352.0,3478.158,0.67622,34244702208,5.4357624,37.813503,0.13354,432.69,55001300992.0,0.19377,0.11598,18553802752.0,0.0,4.24,2026-04-30,1.262
1798,1798.T,Moriya Corporation,守谷商会,スタンダード（内国株式）,建設業,建設・資材,Industrials,Engineering & Construction,JPY,1194.0,1668.638,0.71555364,13020212224,4.750915,,0.16181,251.32,53027000320.0,0.06083,0.05133,10883999744.0,1844999936.0,9.84,2026-04-30,1.232
9414,9414.T,Nippon BS Broadcasting Corporation,日本ＢＳ放送,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,Communication Services,Broadcasting,JPY,906.0,1354.211,0.6690242,16157598720,14.196177,13.111433,0.11429,63.82,12115999744.0,0.27354,0.14642,8995000320.0,509000000.0,3.32,2026-04-30,1.19
6418,6418.T,"Japan Cash Machine Co., Ltd.",日本金銭機械,プライム（内国株式）,機械,機械,Industrials,Business Equipment & Supplies,JPY,973.0,1295.077,0.75130665,26394202112,5.702397,32.00658,0.14310001,170.63,30916444160.0,0.16922002,0.15174,22408933376.0,9450000384.0,4.07,2026-04-30,1.148
6419,6419.T,Mars Group Holdings Corporation,マースグループホールディングス,プライム（内国株式）,機械,機械,Consumer Cyclical,Leisure,JPY,2792.0,4511.768,0.61882615,51523948544,7.1333675,15.756208,0.08817001,391.4,32696530944.0,0.29177,0.21583,37779460096.0,625137984.0,5.31,2026-04-30,0.898
5906,5906.T,"MK Seiko Co., Ltd.",エムケー精工,スタンダード（内国株式）,金属製品,建設・資材,Technology,Consumer Electronics,JPY,865.0,1347.215,0.6420653,12045784064,7.7460375,,0.114630006,111.67,28500000768.0,0.16099001,0.07119,5346999808.0,3351000064.0,1.73,2026-04-30,0.887
7466,7466.T,SPK Corporation,ＳＰＫ,プライム（内国株式）,卸売業,商社・卸売,Consumer Cyclical,Auto Parts,JPY,1272.0,2794.838,0.4551248,25685903360,9.753105,,0.10411,130.42,74135003136.0,0.05129,0.03793,8184000000.0,8057999872.0,2.81,2026-04-30,0.837
8917,8917.T,"First Juken Co., Ltd.",ファースト住建,スタンダード（内国株式）,不動産業,不動産,Consumer Cyclical,Residential Construction,JPY,1105.0,2929.224,0.377233,15374509056,10.765783,,0.085710004,102.64,39623999488.0,0.08201,0.06289,13107000320.0,9676000256.0,3.83,2026-04-30,0.812
6191,6191.T,AirTrip Corp.,エアトリ,プライム（内国株式）,サービス業,情報通信・サービスその他,Consumer Cyclical,Travel Services,JPY,685.0,713.164,0.9605084,15598652416,8.655547,7.67421,0.15899,79.14,29682999296.0,0.14827,0.08631,12483999744.0,6616999936.0,1.46,2026-04-30,0.79
4231,4231.T,Tigers Polymer Corporation,タイガースポリマー,スタンダード（内国株式）,化学,素材・化学,Basic Materials,Specialty Chemicals,JPY,988.0,2273.48,0.43457606,19300683776,5.0177755,,0.095410004,196.9,50891001856.0,0.06771,0.078600004,18517000192.0,2024999936.0,3.55,2026-04-30,0.786
2329,2329.T,Tohokushinsha Film Corporation,東北新社,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,Communication Services,Entertainment,JPY,602.0,628.042,0.95853466,82889744384,8.772952,,0.16194001,68.62,47584002048.0,0.09395,0.27787,49223999488.0,0.0,4.49,2026-04-30,0.665
8152,8152.T,SOMAR Corporation,ソマール,スタンダード（内国株式）,卸売業,商社・卸売,Basic Materials,Specialty Chemicals,JPY,5520.0,11109.357,0.49687842,10697351168,4.7665105,,0.09273,1158.08,30656999424.0,0.086289994,0.06165,11198999552.0,6111000064.0,1.79,2026-04-30,0.624
4301,4301.T,Amuse Inc.,アミューズ,プライム（内国株式）,サービス業,情報通信・サービスその他,Communication Services,Entertainment,JPY,1970.0,2317.333,0.8501152,31929475072,6.7902937,18.942308,0.14023,290.12,69329002496.0,0.096049994,0.07516,31126999040.0,221000000.0,2.02,2026-04-30,0.566
7173,7173.T,"Tokyo Kiraboshi Financial Group, Inc.",東京きらぼしフィナンシャルグループ,プライム（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,11700.0,13398.893,0.8732065,354405974016,12.988022,,0.09907,900.83,153629999104.0,0.33841,0.24905,931164979200.0,169728999424.0,1.43,2026-04-30,0.55
7254,7254.T,Univance Corporation,ユニバンス,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,798.0,1447.978,0.5511133,16652989440,7.8442936,,0.09348,101.73,54839001088.0,0.083009996,0.047870003,9857999872.0,408000000.0,2.03,2026-04-30,0.474
1850,1850.T,"Nankai Tatsumura Construction Co., Ltd.",南海辰村建設,スタンダード（内国株式）,建設業,建設・資材,Industrials,Engineering & Construction,JPY,423.0,638.556,0.6624321,12194074624,5.9012275,,0.11437,71.68,50148999168.0,0.05609,0.039920002,8120999936.0,788000000.0,1.71,2026-04-30,0.466
5644,5644.T,Metalart Corporation,メタルアート,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,Industrials,Metal Fabrication,JPY,5060.0,8720.622,0.5802338,14484958208,7.920978,,0.09182,638.81,44818001920.0,0.10054,0.048189998,10115999744.0,4818999808.0,2.91,2026-04-30,0.421
8935,8935.T,"FJ Next Holdings Co., Ltd.",ＦＪネクストホールディングス,プライム（内国株式）,不動産業,不動産,Real Estate,Real Estate - Diversified,JPY,1504.0,2325.005,0.6468804,49259286528,6.6808815,,0.10465,225.12,125854998528.0,0.07429,0.060879998,18493999104.0,15662999552.0,3.69,2026-04-30,0.387
3636,3636.T,"Mitsubishi Research Institute, Inc.",三菱総合研究所,プライム（内国株式）,情報・通信業,情報通信・サービスその他,Technology,Information Technology Services,JPY,4480.0,5027.026,0.891183,70601940992,7.077856,11.561291,0.12774,632.96,128592003072.0,0.14012,0.07757,16172000256.0,971000000.0,3.7,2026-04-30,0.364
9202,9202.T,ANA Holdings Inc.,ＡＮＡホールディングス,プライム（内国株式）,空運業,運輸・物流,Industrials,Airlines,JPY,2601.5,3088.879,0.84221494,1178749632512,9.170867,9.259984,0.12322,283.67,2436455989248.0,0.12094,0.06494,1229950025728.0,1188294033408.0,2.28,2026-04-30,0.35
9686,9686.T,"Toyo Tec Co.,Ltd.",東洋テック,スタンダード（内国株式）,サービス業,情報通信・サービスその他,Industrials,Security & Protection Services,JPY,1536.0,2243.879,0.68452895,15990556672,7.5709777,,0.107480004,202.88,44429000704.0,0.072129995,0.05422,12769999872.0,8245000192.0,4.29,2026-04-30,0.328
8609,8609.T,Okasan Securities Group Inc.,岡三証券グループ,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,Financial Services,Capital Markets,JPY,904.0,1096.042,0.8247859,180876574720,8.491452,,0.097270004,106.46,91847999488.0,0.23077999,0.23256001,646928990208.0,541029007360.0,4.29,2026-04-30,0.284
9201,9201.T,"Japan Airlines Co., Ltd.",日本航空,プライム（内国株式）,空運業,運輸・物流,Industrials,Airlines,JPY,2454.0,2829.268,0.86736214,1054797201408,8.730921,9.8490925,0.12172,281.07,1998822965248.0,0.12669,0.064899996,915057999872.0,866647015424.0,3.89,2026-04-30,0.271
6357,6357.T,"Sansei Technologies, Inc.",三精テクノロジーズ,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,2128.0,2610.281,0.8152379,38685806592,10.2598715,,0.1232,207.41,70897999872.0,0.06865,0.07851,26038999040.0,17198000128.0,2.77,2026-04-30,0.247
7235,7235.T,"Tokyo Radiator Mfg.Co.,Ltd.",東京ラヂエーター製造,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,1423.0,2413.97,0.5894854,13552386048,7.0760813,,0.0848,201.1,35263574016.0,0.0719,0.05589,9665716224.0,0.0,4.13,2026-04-30,0.164
6932,6932.T,ENDO Lighting Corporation,遠藤照明,スタンダード（内国株式）,電気機器,電機・精密,Consumer Cyclical,"Furnishings, Fixtures & Appliances",JPY,2790.0,3169.694,0.8802111,41204445184,8.0183935,9.587629,0.121020004,347.95,54388998144.0,0.10582,0.098570004,23164999680.0,16494000128.0,2.98,2026-04-30,0.15
9906,9906.T,Fujii Sangyo Corporation,藤井産業,スタンダード（内国株式）,卸売業,商社・卸売,Industrials,Specialty Industrial Machinery,JPY,4255.0,4721.066,0.9012795,35982680064,7.3355746,,0.13377,580.05,103913996288.0,0.05071,0.050100002,20208001024.0,1192999936.0,3.12,2026-04-30,0.144
7327,7327.T,"Daishi Hokuetsu Financial Group, Inc.",第四北越フィナンシャルグループ,プライム（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,1958.0,2084.957,0.9391081,513412300800,13.677005,,0.08083,143.16,202487005184.0,0.37433997,0.20758,2020551950336.0,1468983017472.0,3.14,2026-04-30,0.142
6797,6797.T,"Nagoya Electric Works Co., Ltd.",名古屋電機工業,スタンダード（内国株式）,電気機器,電機・精密,Industrials,Security & Protection Services,JPY,1233.0,1922.448,0.64136976,14493612032,6.5637474,,0.088,187.85,17079000064.0,0.08663999,0.11241999,6969999872.0,0.0,3.67,2026-04-30,0.129
4471,4471.T,"Sanyo Chemical Industries, Ltd.",三洋化成工業,プライム（内国株式）,化学,素材・化学,Basic Materials,Specialty Chemicals,JPY,4995.0,6887.171,0.7252615,110497210368,8.104688,16.589172,0.09594,616.31,127749996544.0,0.09957,0.10425,31018999808.0,3576999936.0,3.36,2026-04-30,0.089
7722,7722.T,"Kokusai Co., Ltd.",国際計測器,スタンダード（内国株式）,精密機器,電機・精密,Industrials,Specialty Industrial Machinery,JPY,807.0,902.022,0.8946567,10873652224,6.9157596,17.620089,0.11214,116.69,14138999808.0,0.14693,0.091309994,8441999872.0,2836000000.0,4.27,2026-04-30,0.082
7927,7927.T,Muto Seiko Co.,ムトー精工,スタンダード（内国株式）,化学,素材・化学,Technology,Electronic Components,JPY,1942.0,2921.368,0.6647571,13481094144,7.849002,,0.088520005,247.42,28746999808.0,0.08596,0.061329998,11294000128.0,6758000128.0,7.25,2026-04-30,0.071
6382,6382.T,Trinity Industrial Corporation,トリニティ工業,スタンダード（内国株式）,機械,機械,Consumer Cyclical,Auto Parts,JPY,1302.0,2072.784,0.62814075,21010053120,7.807628,,0.08242,166.76,38960001024.0,0.0877,0.06899,10236000256.0,174000000.0,4.65,2026-04-30,0.064
9059,9059.T,"Kanda Holdings Co.,Ltd.",カンダホールディングス,スタンダード（内国株式）,陸運業,運輸・物流,Industrials,Trucking,JPY,870.0,1291.911,0.673421,18640291840,8.000736,8.51272,0.09033,108.74,52098998272.0,0.079840004,0.04607,15089000448.0,6377999872.0,2.67,2026-04-30,0.06
6349,6349.T,Komori Corporation,小森コーポレーション,プライム（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1516.0,2256.76,0.6717595,80443572224,9.35456,33.91499,0.08365,162.06,119576002560.0,0.114209995,0.08101,52144001024.0,9774000128.0,4.62,2026-04-30,0.056
4619,4619.T,"Nihon Tokushu Toryo Co., Ltd.",日本特殊塗料,スタンダード（内国株式）,化学,素材・化学,Consumer Cyclical,Auto Parts,JPY,2054.0,2728.238,0.75286686,44323909632,8.238739,14.126548,0.1003,249.31,62763999232.0,0.069510005,0.09193,14627000320.0,3664999936.0,5.8,2026-04-30,-0.009
3023,3023.T,Rasa Corporation,ラサ商事,スタンダード（内国株式）,卸売業,商社・卸売,Basic Materials,Other Industrial Metals & Mining,JPY,1800.0,2122.227,0.84816563,18972164096,8.936994,,0.10543,201.41,28305999872.0,0.118540004,0.081750005,4871000064.0,3518000128.0,3.94,2026-04-30,-0.012
6484,6484.T,KVK Corporation,ＫＶＫ,スタンダード（内国株式）,機械,機械,Consumer Cyclical,"Furnishings, Fixtures & Appliances",JPY,2425.0,3743.392,0.6478082,19467509760,8.237371,,0.08094,294.39,30545000448.0,0.087740004,0.07671,3724999936.0,0.0,3.31,2026-04-30,-0.019
6365,6365.T,DMW Corporation,電業社機械製作所,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,5590.0,6925.271,0.80718863,23168067584,7.8138103,,0.10009,715.4,29888000000.0,0.10526,0.09184,6064000000.0,0.0,3.42,2026-04-30,-0.043
4992,4992.T,"Hokko Chemical Industry Co., Ltd.",北興化学工業,スタンダード（内国株式）,化学,素材・化学,Basic Materials,Agricultural Inputs,JPY,1711.0,2173.098,0.78735524,44110004224,10.06589,11.301189,0.09056,169.98,50014998528.0,0.14074,0.09538999,6975000064.0,1000000000.0,3.12,2026-04-30,-0.047
6995,6995.T,"Tokai Rika Co., Ltd.",東海理化電機製作所,プライム（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,2885.0,4043.243,0.71353614,245538734080,6.8728113,11.170481,0.094,419.77,637863002112.0,0.05771,0.04961,107891998720.0,10000000000.0,3.46,2026-04-30,-0.059
4465,4465.T,"Niitaka Co., Ltd.",ニイタカ,スタンダード（内国株式）,化学,素材・化学,Consumer Defensive,Household & Personal Products,JPY,2281.0,2686.323,0.8491161,13523911680,6.3888187,12.945517,0.10569,357.03,24131000320.0,0.09255,0.066589996,7506999808.0,1538000000.0,3.31,2026-04-30,-0.098
5013,5013.T,Yushiro Inc.,ユシロ,スタンダード（内国株式）,石油・石炭製品,エネルギー資源,Basic Materials,Chemicals,JPY,3315.0,3535.896,0.9375276,43175952384,9.349353,,0.1148,354.57,52343001088.0,0.11396,0.096140005,11628999680.0,6227999744.0,4.07,2026-04-30,-0.101
6209,6209.T,NPR-Riken Corporation,リケンＮＰＲ,プライム（内国株式）,機械,機械,Consumer Cyclical,Auto Parts,JPY,3880.0,5649.571,0.68677783,104392638464,8.884615,,0.082159996,436.71,163909992448.0,0.086169995,0.07231,26599999488.0,15797000192.0,4.26,2026-04-30,-0.11
5184,5184.T,"Nichirin Co., Ltd.",ニチリン,スタンダード（内国株式）,ゴム製品,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,3955.0,4574.491,0.864577,52183273472,9.454937,10.709451,0.10398,418.3,73668001792.0,0.11068,0.07485,23619000320.0,2131000064.0,4.81,2026-04-30,-0.112
9845,9845.T,Parker Corporation,パーカーコーポレーション,スタンダード（内国株式）,化学,素材・化学,Industrials,Industrial Distribution,JPY,1393.0,1932.72,0.7207459,34864640000,8.841077,,0.08737001,157.56,72078999552.0,0.08442,0.05566,24034000896.0,4922999808.0,2.35,2026-04-30,-0.113
9428,9428.T,Crops Corporation,クロップス,スタンダード（内国株式）,情報・通信業,情報通信・サービスその他,Communication Services,Telecom Services,JPY,1334.0,1354.469,0.98488784,12614445056,14.640035,,0.13095,91.12,64951001088.0,0.059609998,0.01926,9795999744.0,2566000128.0,1.86,2026-04-30,-0.114
6161,6161.T,Estic Corporation,エスティック,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1012.0,1065.825,0.94949925,10087479296,8.8153305,9.1236925,0.10271,114.8,7378999808.0,0.18417999,0.13931,2873999872.0,0.0,5.91,2026-04-30,-0.123
4251,4251.T,KEIWA Incorporated,恵和,プライム（内国株式）,化学,素材・化学,Technology,Electronic Components,JPY,1194.0,1290.258,0.92539626,22083665920,9.779671,8.081219,0.09688,122.09,20472999936.0,0.18552,0.11078,9379000320.0,2155000064.0,4.18,2026-04-30,-0.161
5356,5356.T,"Mino Ceramic Co., Ltd.",美濃窯業,スタンダード（内国株式）,ガラス・土石製品,建設・資材,Basic Materials,Building Materials,JPY,1173.0,1489.744,0.7873836,12034774016,9.464256,,0.091639996,123.94,15674000384.0,0.10074,0.08568,3576000000.0,1440000000.0,3.57,2026-04-30,-0.163
9857,9857.T,Eiwa Corporation,英和,スタンダード（内国株式）,卸売業,商社・卸売,Industrials,Electrical Equipment & Parts,JPY,2655.0,2842.967,0.9338835,16802512896,8.848526,,0.11726,300.05,48591998976.0,0.07507,0.04157,6867999744.0,206000000.0,3.01,2026-04-30,-0.177
1810,1810.T,"Matsui Construction Co., Ltd.",松井建設,スタンダード（内国株式）,建設業,建設・資材,Industrials,Engineering & Construction,JPY,1519.0,1927.887,0.78790927,43323187200,10.535442,,0.09219,144.18,97948999680.0,0.079619996,0.04879,5872999936.0,0.0,4.65,2026-04-30,-0.227
1716,1716.T,Dai-Ichi Cutter Kogyo k.k.,第一カッター興業,スタンダード（内国株式）,建設業,建設・資材,Industrials,Engineering & Construction,JPY,1431.0,1756.889,0.8145079,16102823936,9.420671,5.989954,0.08911,151.9,20347000832.0,0.11812,0.08399,9733999616.0,288000000.0,2.8,2026-04-30,-0.228
8604,8604.T,"Nomura Holdings, Inc.",野村ホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,Financial Services,Capital Markets,JPY,1256.5,1277.986,0.9831876,3627550244864,10.559711,13.815284,0.1007,118.99,2167713038336.0,0.18655,0.16705999,48617301737472.0,35363905077248.0,3.77,2026-04-30,-0.248
6322,6322.T,Tacmina Corporation,タクミナ,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1562.0,1586.312,0.98467386,10785076224,8.885603,,0.11094,175.79,11255000064.0,0.12911001,0.10298,3137999872.0,400000000.0,3.2,2026-04-30,-0.254
2475,2475.T,"WDB Holdings Co., Ltd.",ＷＤＢホールディングス,プライム（内国株式）,サービス業,情報通信・サービスその他,Industrials,Staffing & Employment Services,JPY,1490.0,1680.734,0.8865174,28582619136,9.123753,8.361392,0.09974,163.31,50420625408.0,0.09588,0.06058,16692161536.0,0.0,4.16,2026-04-30,-0.305
3176,3176.T,"Sanyo Trading Co., Ltd.",三洋貿易,プライム（内国株式）,卸売業,商社・卸売,Industrials,Industrial Distribution,JPY,1556.0,1831.957,0.8493649,44828626944,9.760993,7.398602,0.10125,159.41,132562796544.0,0.05582,0.039049998,11512000512.0,3801999872.0,3.66,2026-04-30,-0.309
9991,9991.T,Gecoss Corporation,ジェコス,プライム（内国株式）,卸売業,商社・卸売,Industrials,Rental & Leasing Services,JPY,1611.0,2037.129,0.7908188,54204362752,9.783796,,0.08766,164.66,115285000192.0,0.08276,0.05134,8302000128.0,2816000000.0,3.79,2026-04-30,-0.31
7931,7931.T,"Mirai Industry Co.,Ltd.",未来工業,プライム（内国株式）,化学,素材・化学,Industrials,Electrical Equipment & Parts,JPY,2985.0,3344.328,0.892556,48242917376,10.270437,10.240137,0.08715,290.64,45673000960.0,0.15682,0.102819994,23241000960.0,178000000.0,3.35,2026-04-30,-0.352
1381,1381.T,"AXYZ Co., Ltd.",アクシーズ,スタンダード（内国株式）,水産・農林業,食品,Consumer Defensive,Farm Products,JPY,3805.0,3992.934,0.9529333,21367623680,9.546868,,0.10371,398.56,28039999488.0,0.1065,0.07974,8480999936.0,48000000.0,2.97,2026-04-30,-0.38
7525,7525.T,Rix Corporation,リックス,プライム（内国株式）,卸売業,商社・卸売,Industrials,Specialty Industrial Machinery,JPY,3330.0,3366.866,0.9890504,26992783360,9.281971,,0.11415,358.76,54696267776.0,0.07714,0.05687,8397986816.0,2290179072.0,4.59,2026-04-30,-0.384
7723,7723.T,"Aichi Tokei Denki Co., Ltd.",愛知時計電機,プライム（内国株式）,精密機器,電機・精密,Technology,Scientific & Technical Instruments,JPY,2891.0,3232.121,0.89445907,44352716800,11.382786,11.531712,0.09204,253.98,56954998784.0,0.121520005,0.07682,8207000064.0,700000000.0,3.84,2026-04-30,-0.385
4526,4526.T,"Riken Vitamin Co., Ltd.",理研ビタミン,プライム（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,2784.0,2790.644,0.99761915,81258864640,8.812078,9.816643,0.11729,315.93,95232999424.0,0.06435,0.09979,17675999232.0,8183000064.0,4.0,2026-04-30,-0.392
9768,9768.T,"IDEA Consultants,Inc.",いであ,スタンダード（内国株式）,サービス業,情報通信・サービスその他,Industrials,Engineering & Construction,JPY,3620.0,4301.749,0.84151816,25843019776,10.849367,,0.08012,333.66,24615999488.0,0.13859999,0.09673,2924999936.0,320000000.0,3.19,2026-04-30,-0.404
