code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at,score,net_income_years,net_income_4y_mean,net_income_4y_cv,net_income_4y_min,net_income_all_positive_4y,revenue_4y_mean,revenue_3y_cagr,roe_3y_mean,roe_3y_min,fcf_5y_mean,fcf_yield_5y,net_buyback_4y,shares_change_4y
4235,4235.T,"Ultrafabrics Holdings Co.,Ltd.",ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,化学,素材・化学,Consumer Cyclical,Textile Manufacturing,JPY,667.0,1548.345,0.43078256,10612365312,18.471336,6.7035174,0.36705002,36.11,9157999616.0,0.15168001,0.27364,1680000000.0,15509000192.0,5.22,2026-04-30,3.59,4,1621500000.0,0.4037073857670981,668000000.0,True,20372250000.0,0.016038079231412317,0.09667041329572273,0.03812894203601701,1200500000.0,0.11312275489070536,1800000000.0,0.027651050354574824
4404,4404.T,"Miyoshi Oil & Fat Co., Ltd.",ミヨシ油脂,スタンダード（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,2146.0,4178.426,0.5135906,21891796992,2.275354,,0.26101,943.15,59474001920.0,0.05155,0.16168,9672999936.0,15656999936.0,3.26,2026-04-30,2.023,4,3561000000.0,1.0325347368422222,-268000000.0,False,56371500000.0,0.0408483065512677,0.14502625307641473,0.07877868386117959,-1682000000.0,-0.07683243182890191,69000000.0,-0.00043906875095478526
8887,8887.T,"SYLA Holdings Co., Ltd.",シーラホールディングス,スタンダード（内国株式）,不動産業,不動産,Real Estate,Real Estate - Development,JPY,378.0,36189.035,0.010445152,14215164928,4.4179525,,0.10428,85.56,30872023040.0,0.104090005,0.03611,2559326976.0,32361854976.0,1.3,2026-04-30,1.879,4,288809500.0,2.068419276749186,-657912000.0,False,5923396500.0,-0.03683299903294013,0.009217285645273897,-0.058955646519897056,1206448000.0,0.08487048909461657,76411000.0,0.13886003512814216
4574,4574.T,"Taiko Pharmaceutical Co.,Ltd.",大幸薬品,プライム（内国株式）,医薬品,医薬品,Healthcare,Drug Manufacturers - Specialty & Generic,JPY,292.0,525.895,0.5552439,14673346560,15.895481,63.478264,0.20142001,18.37,22456000512.0,0.21345,0.18605,4944000000.0,94000000.0,1.19,2026-04-30,1.806,4,-1671250000.0,1.5685100291818785,-4895000000.0,False,5962250000.0,0.08271778687905229,-0.08480796784803428,-0.4886002300250321,-453500000.0,-0.030906378319738942,-0.0,0.15319060452518296
5351,5351.T,"Shinagawa Refra Co., Ltd.",品川リフラ,プライム（内国株式）,ガラス・土石製品,建設・資材,Industrials,Building Products & Equipment,JPY,1916.0,2615.272,0.73261976,87433060352,9.487497,8.212602,0.28977,201.95,169024995328.0,0.057550002,0.18837,31922999296.0,45035999232.0,4.67,2026-04-30,1.777,4,9668250000.0,0.37424625942451867,5308000000.0,True,130998500000.0,0.09152624144544275,0.14819794760902685,0.11342005904153206,5499250000.0,0.06289668893963411,2251000000.0,-0.024670021470659997
2220,2220.T,"Kameda Seika Co.,Ltd.",亀田製菓,プライム（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,1429.0,1586.345,0.90081286,90383040512,3.3590333,,0.31041,425.42,130271002624.0,0.103649996,0.20582001,18698999808.0,46243000320.0,1.52,2026-04-30,1.698,4,3496250000.0,0.42060870675137746,1892000000.0,True,94737750000.0,0.06634202886890583,0.04581167625827006,0.02950050284948039,808500000.0,0.008945262246324373,2000000.0,-1.6553088291626494e-05
9506,9506.T,"Tohoku Electric Power Company, Incorporated",東北電力,プライム（内国株式）,電気・ガス業,電力・ガス,Utilities,Utilities - Renewable,JPY,1088.5,2189.534,0.49713776,544597704704,3.31153,4.081059,0.16431999,328.7,2451704119296.0,0.07533,0.06959,537252986880.0,3012268916736.0,3.46,2026-04-30,1.169,4,43246250000.0,3.7477367292565003,-127562000000.0,False,2643594000000.0,0.0791727104889115,0.10860996157690196,-0.20432051998725018,215975500000.0,0.39657805777456795,,0.0007360616083633698
7347,7347.T,"Mercuria Holdings Co., Ltd.",マーキュリアホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,Financial Services,Asset Management,JPY,753.0,929.496,0.81011647,14569137152,inf,,0.09349,0.0,7215000064.0,0.54257,0.2334,5232000000.0,684000000.0,2.81,2026-04-30,1.068,4,1201985750.0,0.3878505111789994,505721000.0,True,5805511250.0,0.16204542931773624,0.06224464199281052,0.029231454490301362,962827500.0,0.0660867894889593,931872000.0,-0.035175864111258615
7463,7463.T,"Advan Group Co., Ltd.",アドヴァングループ,スタンダード（内国株式）,小売業,小売,Basic Materials,Building Materials,JPY,958.0,1788.092,0.5357666,32170256384,4.0686316,,0.14129,235.46,17036000256.0,0.13419,0.47329,8265999872.0,18396999680.0,4.18,2026-04-30,1.017,4,5873839250.0,0.4671689038695754,3364570000.0,True,19196968000.0,0.017753544031287927,0.13980910582234296,0.07915271166972647,1162665750.0,0.03614101597829529,4595445000.0,-0.10786297867236183
7102,7102.T,"Nippon Sharyo, Ltd.",日本車輌製造,プライム（内国株式）,輸送用機器,自動車・輸送機,Industrials,Railroads,JPY,3730.0,5699.997,0.6543863,53821022208,4.6161084,,0.15877,808.04,99970998272.0,0.1541,0.116639994,5087000064.0,32597000192.0,1.35,2026-04-30,0.953,4,5035250000.0,0.23786939933391413,3118000000.0,True,94097250000.0,0.00815131041328332,0.08644103540444041,0.06310016493468384,2869750000.0,0.05332024332256993,,-0.00015694199119131724
2993,2993.T,Choei Inc.,長栄,スタンダード（内国株式）,不動産業,不動産,Real Estate,Real Estate Services,JPY,2380.0,2761.904,0.8617244,10400524288,5.5174336,,0.18962999,431.36,10622000128.0,0.22368,0.20185,11143000064.0,50975997952.0,4.13,2026-04-30,0.947,4,1564212750.0,0.1985697811263962,1256294000.0,True,9256120500.0,0.05731769953943,0.15453684999925854,0.1272711662265307,-2138298250.0,-0.2055952364312194,559300000.0,-0.011709916485681648
6149,6149.T,"Odawara Engineering Co., Ltd.",小田原エンジニアリング,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1984.0,3238.266,0.6126736,11351614464,4.8988867,10.730124,0.13239999,404.99,18237999104.0,0.19405001,0.12693,8725000192.0,0.0,3.51,2026-04-30,0.913,4,1377762500.0,0.4439924650789387,801534000.0,True,15051053500.0,0.08990658128538875,0.09625067019659439,0.05387190983249268,1542572500.0,0.13589014187295076,732000.0,0.007536830093787694
