code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at
8887,8887.T,"SYLA Holdings Co., Ltd.",シーラホールディングス,スタンダード（内国株式）,不動産業,不動産,Real Estate,Real Estate - Development,JPY,378.0,36189.035,0.010445152,14215164928,4.4179525,,0.10428,85.56,30872023040,0.104090005,0.03611,2559326976,32361854976,1.3,2026-04-30
520A,520A.T,J-PHARMACEUTICALS CO LTD,ジェイファーマ,グロース（内国株式）,医薬品,医薬品,Healthcare,Biotechnology,JPY,557.0,16960.549,0.03284092,9931092992,,,-0.90085,-84.07,,0.0,0.0,,,,2026-04-30
7161,7161.T,"Jimoto Holdings, Inc.",じもとホールディングス,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,446.0,3231.347,0.13802294,11932122112,65.20467,,0.02525,6.84,36002000896,0.12749,0.059770003,252941991936,101658001408,1.06,2026-04-30
8209,8209.T,Friendly Corporation,フレンドリー,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Restaurants,JPY,312.0,2161.285,0.14435858,889762240,,,-0.49045,-37.38,11237213184,-0.06372,-0.18312,1085698944,2306680064,,2026-04-30
7215,7215.T,"Faltec Co., Ltd.",ファルテック,スタンダード（内国株式）,輸送用機器,自動車・輸送機,Consumer Cyclical,Auto Parts,JPY,374.0,1953.002,0.19150007,3507324160,11.065089,,0.0016699999,33.8,72613003264,0.0171,-0.0016699999,17695000576,26919999488,,2026-04-30
7578,7578.T,"Nichiryoku Co.,Ltd.",ニチリョク,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Personal Services,JPY,104.0,535.14,0.19434166,1807919360,3.4346101,,-0.10455,30.28,4335113216,-0.103999995,-0.0911,1793197056,5351087104,,2026-04-30
7898,7898.T,"Wood One Co.,Ltd.",ウッドワン,スタンダード（内国株式）,その他製品,情報通信・サービスその他,Consumer Cyclical,"Furnishings, Fixtures & Appliances",JPY,980.0,5032.637,0.19472893,9122465792,3.8275268,,0.05435,256.04,65722998784,0.04277,0.03592,3996000000,42135998464,2.42,2026-04-30
5491,5491.T,"Nippon Kinzoku Co., Ltd.",日本金属,スタンダード（内国株式）,鉄鋼,鉄鋼・非鉄,Basic Materials,Steel,JPY,905.0,4427.708,0.20439468,5842621952,4.748413,2.556497,0.05136,190.59,49502998528,0.02661,0.02881,11207999488,21188999168,,2026-04-30
5932,5932.T,"Sankyo Tateyama,Inc.",三協立山,プライム（内国株式）,金属製品,建設・資材,Industrials,Building Products & Equipment,JPY,655.0,3079.736,0.21268056,20527370240,,8.218319,-0.03807,-143.31,355096002560,-0.0026800002,-0.01113,21862000640,93782999040,3.76,2026-04-30
8416,8416.T,"The Bank Of Kochi, Ltd.",高知銀行,スタンダード（内国株式）,銀行業,銀行,Financial Services,Banks - Regional,JPY,1068.0,4926.413,0.21679059,10828753920,979.81647,,0.0017299999,1.09,23527999488,0.05562,0.00149,88499003392,58714001408,2.29,2026-04-30
