code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at,score
4235,4235.T,"Ultrafabrics Holdings Co.,Ltd.",ウルトラファブリックス・ホールディングス,スタンダード（内国株式）,化学,素材・化学,Consumer Cyclical,Textile Manufacturing,JPY,667.0,1548.345,0.43078256,10612365312,18.471336,6.7035174,0.36705002,36.11,9157999616.0,0.15168001,0.27364,1680000000.0,15509000192.0,5.22,2026-04-30,3.59
4404,4404.T,"Miyoshi Oil & Fat Co., Ltd.",ミヨシ油脂,スタンダード（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,2146.0,4178.426,0.5135906,21891796992,2.275354,,0.26101,943.15,59474001920.0,0.05155,0.16168,9672999936.0,15656999936.0,3.26,2026-04-30,2.023
8887,8887.T,"SYLA Holdings Co., Ltd.",シーラホールディングス,スタンダード（内国株式）,不動産業,不動産,Real Estate,Real Estate - Development,JPY,378.0,36189.035,0.010445152,14215164928,4.4179525,,0.10428,85.56,30872023040.0,0.104090005,0.03611,2559326976.0,32361854976.0,1.3,2026-04-30,1.879
4574,4574.T,"Taiko Pharmaceutical Co.,Ltd.",大幸薬品,プライム（内国株式）,医薬品,医薬品,Healthcare,Drug Manufacturers - Specialty & Generic,JPY,292.0,525.895,0.5552439,14673346560,15.895481,63.478264,0.20142001,18.37,22456000512.0,0.21345,0.18605,4944000000.0,94000000.0,1.19,2026-04-30,1.806
5351,5351.T,"Shinagawa Refra Co., Ltd.",品川リフラ,プライム（内国株式）,ガラス・土石製品,建設・資材,Industrials,Building Products & Equipment,JPY,1916.0,2615.272,0.73261976,87433060352,9.487497,8.212602,0.28977,201.95,169024995328.0,0.057550002,0.18837,31922999296.0,45035999232.0,4.67,2026-04-30,1.777
2220,2220.T,"Kameda Seika Co.,Ltd.",亀田製菓,プライム（内国株式）,食料品,食品,Consumer Defensive,Packaged Foods,JPY,1429.0,1586.345,0.90081286,90383040512,3.3590333,,0.31041,425.42,130271002624.0,0.103649996,0.20582001,18698999808.0,46243000320.0,1.52,2026-04-30,1.698
9506,9506.T,"Tohoku Electric Power Company, Incorporated",東北電力,プライム（内国株式）,電気・ガス業,電力・ガス,Utilities,Utilities - Renewable,JPY,1088.5,2189.534,0.49713776,544597704704,3.31153,4.081059,0.16431999,328.7,2451704119296.0,0.07533,0.06959,537252986880.0,3012268916736.0,3.46,2026-04-30,1.169
7347,7347.T,"Mercuria Holdings Co., Ltd.",マーキュリアホールディングス,プライム（内国株式）,証券、商品先物取引業,金融（除く銀行）,Financial Services,Asset Management,JPY,753.0,929.496,0.81011647,14569137152,inf,,0.09349,0.0,7215000064.0,0.54257,0.2334,5232000000.0,684000000.0,2.81,2026-04-30,1.068
7463,7463.T,"Advan Group Co., Ltd.",アドヴァングループ,スタンダード（内国株式）,小売業,小売,Basic Materials,Building Materials,JPY,958.0,1788.092,0.5357666,32170256384,4.0686316,,0.14129,235.46,17036000256.0,0.13419,0.47329,8265999872.0,18396999680.0,4.18,2026-04-30,1.017
7102,7102.T,"Nippon Sharyo, Ltd.",日本車輌製造,プライム（内国株式）,輸送用機器,自動車・輸送機,Industrials,Railroads,JPY,3730.0,5699.997,0.6543863,53821022208,4.6161084,,0.15877,808.04,99970998272.0,0.1541,0.116639994,5087000064.0,32597000192.0,1.35,2026-04-30,0.953
