code,ticker,name,name_jp,market,sector33,sector17,yf_sector,yf_industry,currency,price,book_value_per_share,pbr,market_cap,trailing_pe,forward_pe,roe,trailing_eps,total_revenue,operating_margins,profit_margins,total_cash,total_debt,dividend_yield,fetched_at,score,net_income_years,net_income_4y_mean,net_income_4y_cv,net_income_4y_min,net_income_all_positive_4y,revenue_4y_mean,revenue_3y_cagr,roe_3y_mean,roe_3y_min,fcf_5y_mean,fcf_yield_5y,net_buyback_4y,shares_change_4y,composite_b
6658,6658.T,"Shirai Electronics Industrial Co., Ltd.",シライ電子工業,スタンダード（内国株式）,電気機器,電機・精密,Technology,Electronic Components,JPY,682.0,690.584,0.98757,10173589504,5.6067085,,0.19188,121.64,29821999104.0,0.082279995,0.06264,1475000064.0,2852000000.0,5.12,2026-04-30,0.231,4,1738000000.0,0.19322545899003457,1327000000.0,True,30107750000.0,-0.0006808049216068257,0.28981597191649283,0.21644832605531295,2322500000.0,0.22828717426497808,65000000.0,0.08956526027763645,1.764
9104,9104.T,"Mitsui O.S.K. Lines, Ltd.",商船三井,プライム（内国株式）,海運業,運輸・物流,Industrials,Marine Shipping,JPY,5935.0,7870.372,0.75409395,2038500425728,7.096821,10.547924,0.08866,836.29,1802240000000.0,0.065,0.13097,205562003456.0,2372806901760.0,3.35,2026-04-30,-0.265,4,548005500000.0,0.39180150847309403,261651000000.0,True,1571169000000.0,0.11836065291151376,0.2628089552708845,0.12226487990377723,383065750000.0,0.18791546234933826,70515000000.0,-0.03152192084471428,1.287
1518,1518.T,"Mitsui Matsushima Holdings Co., Ltd.",三井松島ホールディングス,プライム（内国株式）,その他製品,情報通信・サービスその他,Energy,Thermal Coal,JPY,1356.0,1379.069,0.9832721,51928915968,6.6824365,6.560232,0.18361999,202.92,64461000704.0,0.16,0.16667,6489999872.0,51335000064.0,4.61,2026-04-30,0.391,4,13033750000.0,0.5158283873042014,5396000000.0,True,66163250000.0,0.09141931002781689,0.29722470308250126,0.13425789318383005,13472500000.0,0.2594411947343965,6302000000.0,-0.13788373216889172,1.105
9856,9856.T,"Ku Holdings Co.,Ltd.",ケーユーホールディングス,スタンダード（内国株式）,小売業,小売,Consumer Cyclical,Auto & Truck Dealerships,JPY,1139.0,2185.965,0.52105135,35714424832,6.56787,,0.085200004,173.42,164998004736.0,0.05172,0.034879997,10353999872.0,14574000128.0,6.55,2026-04-30,0.247,4,6285500000.0,0.05816972927092255,5744000000.0,True,149748250000.0,0.0685243863513092,0.10678772639814525,0.0996193135437408,2107500000.0,0.05900977013947842,-0.0,0.03208535938475321,1.006
3020,3020.T,"Applied Co.,Ltd.",アプライド,スタンダード（内国株式）,小売業,小売,Technology,Electronics & Computer Distribution,JPY,3890.0,4855.254,0.80119395,10514067456,4.933418,,0.18445,788.5,48638001152.0,0.067210004,0.04632,7578999808.0,320000000.0,2.57,2026-04-30,0.581,4,1390000000.0,0.18650237939169026,1098000000.0,True,43167250000.0,0.024654835452901036,0.13543791822539397,0.1232430230189448,1532000000.0,0.1457095464159061,-0.0,-5.4382448453238474e-05,0.873
2418,2418.T,TSUKADA GLOBAL HOLDINGS Inc.,ツカダ・グローバルホールディング,スタンダード（内国株式）,サービス業,情報通信・サービスその他,Consumer Cyclical,Personal Services,JPY,620.0,785.951,0.7888533,29167136768,6.1624093,,0.123409994,100.61,73094995968.0,0.24826999,0.06523,27990999040.0,77720002560.0,2.25,2026-04-30,0.542,4,4035750000.0,0.36528867058416004,1498000000.0,True,61453250000.0,0.12236774140717532,0.16649973285032027,0.1373192788433846,2916000000.0,0.09997553147552066,199000000.0,-0.007415068534562308,0.774
7520,7520.T,"Eco's Co.,Ltd.",エコス,プライム（内国株式）,小売業,小売,Consumer Defensive,Food Distribution,JPY,2222.0,2601.62,0.8540832,24963993600,9.43164,,0.09431,235.59,134198001664.0,0.056789998,0.019709999,10149999616.0,9927000064.0,3.11,2026-04-30,-0.485,4,3304250000.0,0.3019389897775161,1610000000.0,True,131903000000.0,-0.0011540047635270057,0.13707472205366822,0.08130081300813008,5523500000.0,0.2212586691257604,1415000000.0,-0.013605115540327728,0.732
6149,6149.T,"Odawara Engineering Co., Ltd.",小田原エンジニアリング,スタンダード（内国株式）,機械,機械,Industrials,Specialty Industrial Machinery,JPY,1984.0,3238.266,0.6126736,11351614464,4.8988867,10.730124,0.13239999,404.99,18237999104.0,0.19405001,0.12693,8725000192.0,0.0,3.51,2026-04-30,0.913,4,1377762500.0,0.4439924650789387,801534000.0,True,15051053500.0,0.08990658128538875,0.09625067019659439,0.05387190983249268,1542572500.0,0.13589014187295076,732000.0,0.007536830093787694,0.704
9031,9031.T,"Nishi-Nippon Railroad Co., Ltd.",西日本鉄道,プライム（内国株式）,陸運業,運輸・物流,Industrials,Railroads,JPY,2855.5,3550.275,0.8043039,215608918016,7.831656,14.368018,0.12707,364.61,470321004544.0,0.07959,0.06893,49782001664.0,356583014400.0,1.7,2026-04-30,0.036,4,18443500000.0,0.29510085650916784,9873000000.0,True,444236500000.0,0.012588651116359317,0.10109004291982919,0.0869694227879948,38047500000.0,0.17646533524729507,3749000000.0,-0.016468020831616914,0.674
6430,6430.T,"Daikoku Denki Co., Ltd.",ダイコク電機,プライム（内国株式）,機械,機械,Technology,Computer Hardware,JPY,2352.0,3478.158,0.67622,34244702208,5.4357624,37.813503,0.13354,432.69,55001300992.0,0.19377,0.11598,18553802752.0,0.0,4.24,2026-04-30,0.764,4,5087188750.0,0.6052922870671427,1228963000.0,True,41872905500.0,0.3302686296293704,0.16627285659697424,0.09072491086755068,3150968500.0,0.09201331291658578,3101571000.0,0.0008774278423662185,0.605
